Booking_ID,no_of_adults,no_of_children,total_guests,no_of_weekend_nights,no_of_week_nights,length_of_stay,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,arrival_formatted_date
INN00019,2,0,2,2,2,4,1,0,1,99,2017,10,30,1,0,0,0,65,0,1,30-10-17
INN00020,2,0,2,1,0,1,1,0,1,12,2017,10,4,2,0,0,0,72,0,0,04-10-17
INN00021,2,0,2,2,2,4,1,0,1,99,2017,10,30,1,0,0,0,65,0,1,30-10-17
INN00022,1,0,1,0,1,1,1,0,1,122,2018,11,25,3,0,0,0,67,0,0,25-11-18
INN00023,2,0,2,2,4,6,1,0,1,2,2018,3,20,2,0,0,0,85,0,0,20-03-18
INN00024,2,0,2,0,3,3,1,0,1,37,2018,10,13,2,0,0,0,105,0,0,13-10-18
INN00025,2,0,2,2,1,3,0,0,1,130,2018,5,22,1,0,0,0,94.5,1,0,22-05-18
INN00026,2,0,2,0,2,2,1,0,1,99,2018,4,28,1,0,0,0,114.3,1,0,28-04-18
INN00027,2,0,2,1,1,2,1,0,1,60,2017,9,21,2,0,0,0,65,0,0,21-09-17
INN00028,1,0,1,0,2,2,1,0,4,2,2018,5,19,4,0,0,0,110,0,1,19-05-18
INN00029,1,0,1,1,2,3,1,0,1,37,2017,11,6,1,0,0,0,37.33,0,1,06-11-17
INN00030,2,0,2,0,2,2,2,0,1,56,2017,9,17,2,0,0,0,82,0,0,17-09-17
INN00031,2,0,2,1,1,2,1,0,4,3,2017,9,19,1,0,0,0,177.5,1,0,19-09-17
INN00032,2,0,2,2,2,4,1,0,1,107,2018,11,13,1,0,0,0,87.5,1,0,13-11-18
INN00033,0,2,2,0,3,3,1,0,2,56,2018,12,7,1,0,0,0,82.44,1,0,07-12-18
INN00034,2,0,2,0,1,1,0,0,1,2,2018,1,9,1,0,0,0,69.5,1,0,09-01-18
INN00035,2,0,2,0,2,2,1,0,1,72,2018,10,7,2,0,0,0,85.5,0,0,07-10-18
INN00036,2,0,2,0,1,1,0,1,1,23,2018,4,27,1,0,0,0,115,1,0,27-04-18
INN00037,1,0,1,2,1,3,1,0,1,34,2018,6,19,1,0,0,0,81,0,1,19-06-18
INN00038,2,0,2,0,1,1,1,0,1,289,2017,10,17,2,0,0,0,67,0,0,17-10-17
INN00039,2,0,2,2,3,5,0,0,1,247,2018,11,19,1,0,0,0,63.75,0,1,19-11-18
INN00040,2,0,2,2,1,3,1,0,4,186,2018,7,30,1,0,0,0,121.8,1,1,30-07-18
INN00041,2,0,2,0,4,4,1,0,1,64,2018,11,1,1,0,0,0,93.6,2,0,01-11-18
INN00042,2,0,2,0,2,2,1,0,1,35,2018,6,21,1,0,0,0,102,1,0,21-06-18
INN00043,3,0,3,2,1,3,1,0,1,96,2018,4,10,1,0,0,0,121.8,1,0,10-04-18
INN00044,2,0,2,1,1,2,0,0,1,41,2018,6,27,1,0,0,0,98.1,1,1,27-06-18
INN00045,2,0,2,0,4,4,1,0,4,55,2017,11,18,2,0,0,0,60,1,0,18-11-17
INN00046,2,0,2,0,3,3,1,0,1,146,2017,12,29,2,0,0,0,75,0,0,29-12-17
INN00047,1,0,1,0,2,2,1,0,1,32,2017,11,20,2,0,0,0,73,0,0,20-11-17
INN00048,2,0,2,0,1,1,2,0,1,55,2018,4,6,2,0,0,0,104,0,0,06-04-18
INN00049,2,0,2,0,4,4,0,0,1,57,2018,11,1,1,0,0,0,79.2,1,0,01-11-18
INN00050,1,0,1,1,3,4,1,0,4,7,2018,12,29,1,0,0,0,125.8,2,0,29-12-18
INN00051,1,0,1,2,5,7,0,0,1,124,2018,5,30,1,0,0,0,87.95,0,0,30-05-18
INN00052,2,0,2,2,2,4,2,0,1,169,2018,4,22,1,0,0,0,106,0,1,22-04-18
INN00053,1,0,1,1,2,3,1,0,1,6,2018,5,16,1,0,0,0,136.67,1,0,16-05-18
INN00054,2,0,2,0,4,4,1,0,4,51,2017,11,11,2,0,0,0,60,1,0,11-11-17
INN00055,2,0,2,1,0,1,0,0,1,13,2018,6,13,1,0,0,0,89,2,0,13-06-18
INN00056,2,0,2,1,3,4,1,0,1,100,2018,5,19,1,0,0,0,136,1,0,19-05-18
INN00057,2,0,2,0,1,1,0,0,1,139,2018,7,28,1,0,0,0,94.5,1,0,28-07-18
INN00058,2,0,2,1,2,3,1,0,1,117,2018,12,26,1,0,0,0,93.6,2,0,26-12-18
INN00059,2,0,2,1,4,5,1,0,4,39,2018,4,20,1,0,0,0,120.6,0,1,20-04-18
INN00060,2,0,2,0,3,3,1,0,4,86,2018,4,6,1,0,0,0,99.3,1,0,06-04-18
INN00061,2,2,4,0,1,1,1,1,6,2,2018,9,2,1,0,0,0,258,1,0,02-09-18
INN00062,1,0,1,0,3,3,1,0,4,19,2018,5,3,1,0,0,0,120.12,2,0,03-05-18
INN00063,1,0,1,0,2,2,1,0,1,192,2018,6,24,2,0,0,0,95,0,0,24-06-18
INN00064,1,0,1,0,1,1,1,0,1,2,2017,9,10,5,0,0,0,0,1,0,10-09-17
INN00065,2,0,2,2,1,3,1,0,1,86,2018,12,18,2,0,0,0,75,0,0,18-12-18
INN00066,2,0,2,0,3,3,1,0,4,30,2018,10,5,1,0,0,0,157.5,2,0,05-10-18
INN00067,2,0,2,0,2,2,1,0,4,179,2018,6,3,1,0,0,0,97.7,1,0,03-06-18
INN00068,2,0,2,0,2,2,1,0,4,26,2018,4,15,1,0,0,0,142,0,1,15-04-18
INN00069,2,0,2,0,1,1,1,0,1,55,2018,4,6,2,0,0,0,80,0,0,06-04-18
INN00070,2,0,2,1,2,3,1,0,1,74,2018,4,25,1,0,0,0,85.5,1,0,25-04-18
INN00071,2,0,2,0,3,3,1,0,1,143,2018,8,25,2,0,0,0,100,0,0,25-08-18
INN00072,2,0,2,1,0,1,0,0,1,34,2018,11,14,1,0,0,0,88,2,0,14-11-18
INN00073,2,0,2,1,1,2,1,1,1,30,2018,8,29,1,0,0,0,122.85,1,0,29-08-18
INN00074,2,0,2,0,2,2,1,0,1,177,2018,6,3,1,0,0,0,100,0,1,03-06-18
INN00075,2,0,2,2,3,5,1,0,4,34,2017,10,25,2,0,0,0,75,0,0,25-10-17
INN00076,2,0,2,1,4,5,1,0,4,18,2018,3,9,1,0,0,0,116.8,1,0,09-03-18
INN00077,3,0,3,1,1,2,1,0,4,267,2018,12,31,1,0,0,0,121.5,0,0,31-12-18
INN00078,2,0,2,1,2,3,1,0,1,64,2018,6,27,1,0,0,0,111.9,1,0,27-06-18
INN00079,3,0,3,2,5,7,1,0,4,155,2018,6,28,1,0,0,0,121.55,2,1,28-06-18
INN00080,2,0,2,0,5,5,1,0,1,46,2018,3,29,2,0,0,0,75,1,0,29-03-18
INN00081,2,2,4,0,2,2,1,0,6,83,2018,4,1,1,0,0,0,159.3,0,1,01-04-18
INN00082,2,0,2,0,5,5,1,0,4,128,2018,10,11,1,0,0,0,132.3,0,1,11-10-18
INN00083,2,0,2,2,0,2,0,0,1,20,2018,12,25,1,0,0,0,88,2,0,25-12-18
INN00084,2,0,2,1,4,5,1,0,4,40,2018,3,14,1,0,0,0,98.82,0,0,14-03-18
INN00085,2,0,2,1,2,3,1,1,4,46,2018,3,4,1,0,0,0,98.3,1,0,04-03-18
INN00086,1,0,1,1,0,1,1,0,1,1,2018,10,17,1,0,0,0,150,2,0,17-10-18
INN00087,2,0,2,2,3,5,0,0,1,196,2018,9,4,1,0,0,0,96.05,1,0,04-09-18
INN00088,1,0,1,0,2,2,1,0,1,188,2018,6,15,1,0,0,0,130,0,1,15-06-18
INN00089,2,0,2,0,1,1,0,0,1,17,2018,12,10,1,1,0,5,95,0,0,10-12-18
INN00090,2,0,2,0,3,3,1,0,5,146,2018,8,9,2,0,0,0,113.56,0,0,09-08-18
INN00091,2,0,2,1,3,4,0,0,1,110,2018,5,5,1,0,0,0,101.58,1,0,05-05-18
INN00092,2,0,2,1,2,3,1,1,1,68,2018,3,18,1,0,0,0,105.3,0,0,18-03-18
INN00093,2,0,2,2,1,3,1,0,4,73,2018,4,9,1,0,0,0,115.8,1,0,09-04-18
INN00094,2,0,2,0,1,1,1,0,4,92,2018,5,19,1,0,0,0,149.4,1,0,19-05-18
INN00095,2,0,2,2,5,7,1,0,1,171,2018,8,30,1,0,0,0,111.59,0,1,30-08-18
INN00096,2,1,3,0,2,2,1,1,1,134,2018,8,4,1,0,0,0,130.5,2,0,04-08-18
INN00097,2,0,2,0,2,2,2,0,1,320,2018,8,18,1,0,0,0,115,1,1,18-08-18
INN00098,2,0,2,0,4,4,1,0,1,118,2018,4,13,1,0,0,0,90.95,1,0,13-04-18
INN00099,2,0,2,0,3,3,1,0,1,30,2018,11,17,1,0,0,0,76.08,1,0,17-11-18
INN00100,2,2,4,1,3,4,1,0,6,30,2018,12,22,1,0,0,0,156.9,0,0,22-12-18
INN00101,2,0,2,1,0,1,0,0,1,189,2018,10,23,1,0,0,0,85.5,2,0,23-10-18
INN00102,3,0,3,1,2,3,1,0,4,55,2018,5,13,1,0,0,0,159.3,2,0,13-05-18
INN00103,1,0,1,0,4,4,1,0,1,55,2018,12,13,1,0,0,0,74.8,2,0,13-12-18
INN00104,2,0,2,0,1,1,1,0,1,16,2017,10,31,1,0,0,0,95,1,0,31-10-17
INN00105,2,0,2,0,3,3,1,0,1,24,2017,10,8,1,0,0,0,107,1,0,08-10-17
INN00106,2,0,2,0,3,3,1,0,1,8,2018,2,16,2,0,0,0,64,0,0,16-02-18
INN00107,2,0,2,1,4,5,1,1,1,10,2017,11,2,1,0,0,0,82.95,0,0,02-11-17
INN00108,2,0,2,1,3,4,1,0,4,0,2017,9,21,1,0,0,0,155,1,0,21-09-17
INN00109,2,0,2,0,1,1,0,0,1,12,2018,6,30,1,0,0,0,101.68,1,0,30-06-18
INN00110,2,0,2,2,1,3,1,0,1,32,2017,9,5,1,0,0,0,94.5,3,0,05-09-17
INN00111,2,0,2,0,2,2,1,0,1,182,2018,9,30,1,0,0,0,117.9,2,1,30-09-18
INN00112,2,0,2,1,0,1,0,0,1,1,2018,6,27,1,0,0,0,127,1,0,27-06-18
INN00113,2,0,2,0,3,3,0,0,1,122,2018,6,16,1,0,0,0,116.1,2,0,16-06-18
INN00114,2,0,2,2,3,5,1,0,1,40,2018,6,30,1,0,0,0,117.9,1,0,30-06-18
INN00115,2,2,4,2,2,4,1,0,2,116,2018,6,26,1,0,0,0,184.24,1,1,26-06-18
INN00116,3,0,3,2,2,4,1,1,4,123,2018,8,13,1,0,0,0,155.7,1,0,13-08-18
INN00117,3,0,3,2,5,7,1,0,4,40,2018,4,22,1,0,0,0,135.76,0,1,22-04-18
INN00118,2,1,3,2,5,7,1,0,1,105,2018,11,12,1,0,0,0,102.83,3,0,12-11-18
INN00119,2,0,2,0,1,1,1,0,1,443,2018,4,29,1,0,0,0,65,0,1,29-04-18
INN00120,2,0,2,2,3,5,1,0,1,2,2017,11,14,1,0,0,0,103,1,0,14-11-17
INN00121,2,0,2,0,3,3,1,0,1,317,2018,9,1,1,0,0,0,106.2,1,1,01-09-18
INN00122,2,0,2,0,2,2,2,0,1,286,2018,9,16,2,0,0,0,58.5,0,0,16-09-18
INN00123,2,0,2,1,3,4,1,0,1,68,2018,3,10,1,0,0,0,73.95,0,1,10-03-18
INN00124,2,0,2,0,3,3,1,0,1,148,2018,5,5,1,0,0,0,105.3,0,0,05-05-18
INN00125,3,0,3,2,0,2,1,0,4,68,2018,4,24,1,0,0,0,133.2,2,0,24-04-18
INN00126,2,0,2,0,2,2,1,0,1,30,2018,3,30,2,0,0,0,85.5,0,0,30-03-18
INN00127,1,0,1,0,1,1,1,0,1,14,2018,11,3,1,0,0,0,112,1,1,03-11-18
INN00128,2,2,4,0,2,2,1,0,6,110,2018,10,14,1,0,0,0,190.8,0,1,14-10-18
INN00129,1,0,1,2,3,5,1,0,1,117,2018,6,5,2,0,0,0,110,0,0,05-06-18
INN00130,2,0,2,1,4,5,1,0,4,85,2018,7,13,1,0,0,0,91.48,1,0,13-07-18
INN00131,2,0,2,0,2,2,0,0,1,1,2018,10,20,1,0,0,0,135,2,0,20-10-18
INN00132,1,0,1,1,2,3,1,0,1,25,2018,10,17,1,0,0,0,129,2,0,17-10-18
INN00133,2,0,2,2,4,6,0,0,1,289,2018,12,28,1,0,0,0,70.55,2,1,28-12-18
INN00134,2,0,2,1,4,5,1,0,4,28,2017,10,19,2,0,0,0,75,0,0,19-10-17
INN00135,1,0,1,0,4,4,0,0,1,80,2018,3,29,1,0,0,0,72.25,0,0,29-03-18
INN00136,2,0,2,0,1,1,1,0,4,11,2017,10,9,1,0,0,0,155,2,0,09-10-17
INN00137,2,1,3,1,0,1,1,0,1,162,2018,7,25,1,0,0,0,121.5,2,1,25-07-18
INN00138,2,0,2,2,5,7,1,0,1,155,2018,6,28,1,0,0,0,90.95,2,0,28-06-18
INN00139,1,0,1,2,2,4,1,0,1,82,2018,5,22,1,0,0,0,109.65,0,0,22-05-18
INN00140,3,0,3,2,4,6,1,0,4,27,2018,4,15,1,0,0,0,142.72,0,1,15-04-18
INN00141,1,0,1,1,2,3,1,0,1,13,2018,5,9,2,0,0,0,90,0,0,09-05-18
INN00142,2,0,2,0,2,2,1,0,1,245,2018,6,17,1,0,0,0,75,0,1,17-06-18
INN00143,2,0,2,0,2,2,1,0,1,11,2018,11,18,1,0,0,0,111,1,1,18-11-18
INN00144,2,0,2,2,2,4,1,0,1,266,2018,10,30,1,0,0,0,86.7,2,0,30-10-18
INN00145,2,0,2,1,0,1,1,0,1,39,2018,3,28,1,0,0,0,117.9,1,0,28-03-18
INN00146,1,0,1,0,2,2,1,0,1,13,2018,6,1,5,1,3,5,0,1,0,01-06-18
INN00147,2,0,2,0,4,4,0,0,1,112,2018,5,4,1,0,0,0,101.58,1,0,04-05-18
INN00148,2,0,2,1,2,3,0,0,1,88,2018,4,8,1,0,0,0,58.9,1,0,08-04-18
INN00149,2,0,2,0,1,1,1,0,1,56,2018,6,8,2,0,0,0,120,0,0,08-06-18
INN00150,2,0,2,2,3,5,1,0,4,73,2018,4,7,1,0,0,0,107.1,0,1,07-04-18
INN00151,2,0,2,1,1,2,1,0,1,80,2018,5,2,1,0,0,0,126.9,1,0,02-05-18
INN00152,2,0,2,0,3,3,1,0,4,130,2018,9,29,1,0,0,0,139.5,2,1,29-09-18
INN00153,2,0,2,1,3,4,0,0,1,69,2018,4,4,1,0,0,0,80.75,1,0,04-04-18
INN00154,2,0,2,0,2,2,2,0,1,273,2017,7,17,1,0,0,0,109,0,1,17-07-17
INN00155,2,0,2,0,1,1,2,0,1,55,2018,4,6,2,0,0,0,104,0,0,06-04-18
INN00156,1,0,1,0,3,3,1,0,1,4,2018,11,1,3,1,1,5,65,1,0,01-11-18
INN00157,2,0,2,0,3,3,1,0,4,97,2018,5,24,1,0,0,0,140.4,0,0,24-05-18
INN00158,2,0,2,0,3,3,1,0,1,44,2018,2,17,2,0,0,0,75,0,0,17-02-18
INN00159,2,0,2,0,1,1,0,0,1,31,2018,4,14,1,0,0,0,94.5,0,1,14-04-18
INN00160,2,0,2,1,0,1,0,0,1,0,2018,6,5,1,0,0,0,109,0,0,05-06-18
INN00161,2,0,2,2,2,4,1,0,1,62,2018,11,12,1,0,0,0,105,2,0,12-11-18
INN00162,2,0,2,2,2,4,1,0,4,86,2018,4,17,1,0,0,0,107.95,1,0,17-04-18
INN00163,3,0,3,2,2,4,1,0,7,3,2018,10,7,1,0,0,0,215.6,1,0,07-10-18
INN00164,2,0,2,1,1,2,0,0,1,197,2018,8,1,1,0,0,0,85.5,1,0,01-08-18
INN00165,2,0,2,0,2,2,1,0,1,143,2018,7,12,1,0,0,0,105.3,2,0,12-07-18
INN00166,1,0,1,2,1,3,2,0,1,23,2018,1,2,1,0,0,0,1,0,0,02-01-18
INN00167,2,0,2,0,2,2,1,0,4,8,2018,6,15,1,0,0,0,156,0,1,15-06-18
INN00168,1,0,1,0,2,2,1,0,1,13,2018,11,16,1,0,0,0,73.15,1,0,16-11-18
INN00169,2,0,2,1,2,3,1,0,1,280,2018,9,19,1,0,0,0,110,0,1,19-09-18
INN00170,2,1,3,1,0,1,0,0,1,11,2017,9,13,1,0,0,0,87.4,1,0,13-09-17
INN00171,2,0,2,0,2,2,1,0,1,317,2018,9,15,1,0,0,0,120,0,1,15-09-18
INN00172,2,0,2,1,2,3,0,0,1,185,2018,12,16,1,0,0,0,79.2,0,1,16-12-18
INN00173,2,0,2,1,3,4,1,0,1,160,2018,6,30,1,0,0,0,90.95,1,0,30-06-18
INN00174,2,0,2,0,4,4,1,0,1,104,2018,10,18,1,0,0,0,91.48,1,0,18-10-18
INN00175,2,1,3,0,1,1,1,0,1,11,2018,11,5,1,0,0,0,150,1,1,05-11-18
INN00176,2,0,2,0,1,1,0,0,1,2,2018,3,22,1,0,0,0,89,0,0,22-03-18
INN00177,2,0,2,1,4,5,0,0,1,14,2018,8,17,1,0,0,0,91.43,1,0,17-08-18
INN00178,2,0,2,0,2,2,1,0,1,22,2018,5,20,2,0,0,0,140,0,0,20-05-18
INN00179,1,1,2,2,5,7,0,0,1,37,2017,10,24,1,0,0,0,87.78,0,0,24-10-17
INN00180,2,0,2,0,2,2,2,0,1,292,2018,7,21,1,0,0,0,115,0,1,21-07-18
INN00181,2,0,2,0,3,3,1,0,1,11,2017,9,9,1,0,0,0,80.85,1,0,09-09-17
INN00182,2,0,2,1,3,4,1,0,1,86,2018,3,31,1,0,0,0,82.45,1,0,31-03-18
INN00183,2,0,2,0,1,1,0,0,1,109,2018,10,11,1,0,0,0,108,0,1,11-10-18
INN00184,2,0,2,1,1,2,1,0,4,72,2018,4,2,1,0,0,0,96.3,1,0,02-04-18
INN00185,2,0,2,1,5,6,1,0,1,196,2018,8,22,1,0,0,0,99.45,0,1,22-08-18
INN00186,2,0,2,0,2,2,1,0,4,56,2018,5,13,1,0,0,0,140.4,1,0,13-05-18
INN00187,2,0,2,1,3,4,1,0,1,189,2018,8,8,2,0,0,0,72.25,0,0,08-08-18
INN00188,2,0,2,1,4,5,1,0,4,126,2018,8,15,1,0,0,0,126,0,0,15-08-18
INN00189,2,0,2,2,3,5,1,0,1,303,2018,8,19,1,0,0,0,78,0,1,19-08-18
INN00190,1,0,1,2,2,4,1,0,4,81,2018,11,6,1,0,0,0,146.6,1,0,06-11-18
INN00191,2,0,2,1,2,3,1,0,1,54,2018,10,10,1,0,0,0,118.8,0,1,10-10-18
INN00192,1,0,1,0,1,1,1,0,1,15,2018,10,6,1,0,0,0,145,0,1,06-10-18
INN00193,2,0,2,0,4,4,1,0,1,86,2018,4,6,1,0,0,0,84.58,0,1,06-04-18
INN00194,2,0,2,1,2,3,2,0,1,161,2018,3,25,1,0,0,0,130,0,1,25-03-18
INN00195,2,0,2,4,10,14,1,0,4,147,2018,8,3,1,0,0,0,118.88,1,1,03-08-18
INN00196,2,0,2,1,2,3,1,0,1,92,2018,5,30,2,0,0,0,101.52,0,0,30-05-18
INN00197,2,0,2,0,1,1,1,0,1,87,2017,9,11,3,0,0,0,100,0,1,11-09-17
INN00198,2,0,2,2,1,3,1,0,1,109,2018,3,20,2,0,0,0,58,0,0,20-03-18
INN00199,2,0,2,0,4,4,1,0,1,127,2018,3,23,2,0,0,0,61.5,2,0,23-03-18
INN00200,2,0,2,1,2,3,2,0,1,418,2018,9,26,1,0,0,0,107,0,1,26-09-18
INN00201,2,0,2,1,4,5,0,0,1,156,2018,8,24,1,0,0,0,87.3,1,0,24-08-18
INN00202,2,0,2,0,2,2,1,0,1,80,2017,7,16,1,0,0,0,76.5,1,1,16-07-17
INN00203,2,0,2,2,2,4,0,0,1,211,2018,12,16,1,0,0,0,63.75,0,1,16-12-18
INN00204,2,0,2,1,2,3,1,0,1,273,2018,5,13,1,0,0,0,95,0,1,13-05-18
INN00205,2,0,2,2,1,3,1,0,1,58,2018,11,19,2,0,0,0,75,1,0,19-11-18
INN00206,2,0,2,0,3,3,1,0,1,433,2018,9,8,1,0,0,0,70,0,1,08-09-18
INN00207,2,0,2,1,3,4,1,0,1,111,2018,5,2,1,0,0,0,101.58,1,0,02-05-18
INN00208,2,0,2,2,3,5,1,0,1,34,2018,8,21,2,0,0,0,85,0,0,21-08-18
INN00209,2,0,2,2,4,6,1,0,1,17,2018,12,3,1,0,0,0,98.39,0,0,03-12-18
INN00210,1,0,1,0,0,0,1,0,1,4,2018,2,27,5,0,0,0,0,1,0,27-02-18
INN00211,2,0,2,0,3,3,1,0,1,6,2017,9,22,1,0,0,0,106.07,1,0,22-09-17
INN00212,2,0,2,1,1,2,1,0,1,32,2018,7,18,2,0,0,0,105,1,0,18-07-18
INN00213,2,0,2,0,1,1,1,0,1,4,2017,9,22,1,0,0,0,145,2,0,22-09-17
INN00214,3,0,3,2,1,3,1,0,1,195,2018,8,13,1,0,0,0,106.03,1,1,13-08-18
INN00215,2,0,2,2,2,4,1,0,1,119,2018,8,13,1,0,0,0,114.3,1,0,13-08-18
INN00216,1,0,1,1,1,2,0,0,1,13,2018,12,5,1,0,0,0,88,0,0,05-12-18
INN00217,2,0,2,0,2,2,1,0,1,59,2017,10,15,1,0,0,0,89.25,2,0,15-10-17
INN00218,2,1,3,2,5,7,1,0,4,78,2018,3,20,1,0,0,0,86.32,1,0,20-03-18
INN00219,2,0,2,0,3,3,1,0,1,335,2018,10,13,2,0,0,0,90,1,0,13-10-18
INN00220,2,0,2,2,5,7,1,0,1,103,2017,8,22,1,0,0,0,55.96,0,0,22-08-17
INN00221,1,0,1,0,2,2,0,0,1,0,2018,6,8,1,0,0,0,109,1,0,08-06-18
INN00222,2,0,2,0,1,1,1,0,1,118,2018,3,1,2,0,0,0,86,0,0,01-03-18
INN00223,2,0,2,1,5,6,1,0,1,56,2018,9,5,1,0,0,0,118.95,0,0,05-09-18
INN00224,2,0,2,0,2,2,1,0,1,107,2018,6,10,2,0,0,0,130,1,0,10-06-18
INN00225,2,0,2,1,3,4,0,0,1,70,2018,4,14,1,0,0,0,90.56,1,0,14-04-18
INN00226,2,0,2,0,2,2,1,0,1,76,2018,4,1,1,0,0,0,87.3,1,0,01-04-18
INN00227,2,2,4,2,2,4,1,0,6,144,2018,5,27,1,0,0,0,177.65,1,1,27-05-18
INN00228,1,2,3,2,2,4,1,0,6,4,2017,9,19,1,0,0,0,200.75,2,0,19-09-17
INN00229,2,1,3,0,2,2,1,0,1,15,2018,3,18,1,0,0,0,127,1,0,18-03-18
INN00230,1,0,1,1,2,3,1,0,1,32,2018,2,5,1,0,0,0,72.9,0,1,05-02-18
INN00231,3,0,3,1,1,2,1,0,4,49,2018,5,7,1,0,0,0,159.3,0,1,07-05-18
INN00232,2,1,3,1,3,4,1,0,1,77,2018,5,12,1,0,0,0,135.15,1,0,12-05-18
INN00233,1,0,1,0,2,2,1,0,1,22,2018,10,28,2,0,0,0,90,0,0,28-10-18
INN00234,2,0,2,1,0,1,0,0,1,0,2017,10,18,1,0,0,0,114,0,0,18-10-17
INN00235,2,1,3,0,1,1,1,1,1,58,2018,6,21,1,0,0,0,125.1,1,0,21-06-18
INN00236,2,0,2,2,6,8,0,0,1,4,2017,8,14,1,0,0,0,95.13,1,0,14-08-17
INN00237,2,0,2,0,2,2,1,0,5,117,2018,4,29,1,0,0,0,105.84,0,1,29-04-18
INN00238,2,0,2,1,3,4,1,0,1,36,2018,12,26,1,0,0,0,102,0,1,26-12-18
INN00239,2,0,2,2,2,4,0,0,1,35,2018,12,2,1,0,0,0,74.8,2,0,02-12-18
INN00240,2,0,2,1,0,1,0,0,1,31,2018,4,24,1,0,0,0,94.5,0,1,24-04-18
INN00241,2,0,2,2,4,6,0,0,1,79,2018,6,16,1,0,0,0,120.6,0,0,16-06-18
INN00242,2,0,2,1,2,3,1,0,1,1,2017,10,9,1,0,0,0,139.33,0,0,09-10-17
INN00243,2,0,2,0,2,2,1,0,1,21,2017,9,3,1,0,0,0,105,0,0,03-09-17
INN00244,2,0,2,0,2,2,0,0,1,12,2018,9,14,3,0,0,0,100,1,0,14-09-18
INN00245,2,0,2,1,0,1,1,0,1,33,2018,2,8,1,0,0,0,80.3,1,0,08-02-18
INN00246,1,0,1,0,2,2,1,0,1,164,2017,10,2,2,0,0,0,100,0,0,02-10-17
INN00247,2,0,2,0,3,3,1,1,1,78,2018,3,24,1,0,0,0,105.3,1,0,24-03-18
INN00248,2,0,2,0,4,4,1,0,4,18,2018,5,31,1,0,0,0,112.8,0,1,31-05-18
INN00249,2,0,2,1,2,3,1,0,1,21,2018,8,15,1,0,0,0,151,0,1,15-08-18
INN00250,1,0,1,1,3,4,1,0,1,0,2017,11,9,1,0,0,0,91,1,0,09-11-17
INN00251,3,0,3,2,1,3,1,0,4,152,2018,8,13,1,0,0,0,146.7,1,1,13-08-18
INN00252,2,0,2,2,3,5,1,0,1,43,2017,10,2,2,0,0,0,58.4,0,0,02-10-17
INN00253,2,0,2,0,4,4,0,0,1,177,2018,7,26,1,0,0,0,80.75,1,1,26-07-18
INN00254,2,0,2,1,1,2,0,0,1,47,2018,5,21,2,0,0,0,76.5,0,0,21-05-18
INN00255,3,0,3,0,3,3,1,0,4,57,2018,9,7,1,0,0,0,140.13,0,0,07-09-18
INN00256,2,0,2,2,4,6,0,0,1,60,2017,11,15,1,0,0,0,76,1,0,15-11-17
